state,percentage_owning_guns
 Wyoming ,0.6
 Alaska ,0.58
 Montana ,0.58
 South Dakota ,0.57
 West Virginia ,0.55
 Mississippi ,0.55
 Idaho ,0.55
 Arkansas ,0.55
 Alabama ,0.52
 North Dakota ,0.51
 Kentucky ,0.48
 Wisconsin ,0.44
 Louisiana ,0.44
 Utah ,0.44
 Tennessee ,0.44
 Oklahoma ,0.43
 Iowa ,0.43
 South Carolina ,0.42
 Kansas ,0.42
 Vermont ,0.42
 Missouri ,0.42
 Minnesota ,0.42
 North Carolina ,0.41
 Maine ,0.41
 Georgia ,0.4
 Oregon ,0.4
 Indiana ,0.39
 Nebraska ,0.39
 Michigan ,0.38
 Texas ,0.36
 Virginia ,0.35
 New Mexico ,0.35
 Colorado ,0.35
 Pennsylvania ,0.35
 Nevada ,0.34
 Washington ,0.33
 Ohio ,0.32
 Arizona ,0.31
 New Hampshire ,0.3
 Delaware ,0.26
 Florida ,0.25
 California ,0.21
 Maryland ,0.21
 Illinois ,0.2
 New York ,0.18
 Connecticut ,0.17
 Rhode Island ,0.13
 Massachusetts ,0.13
 New Jersey ,0.12
 Hawaii ,0.07
